itemid,locationid,transactiondate,transferquantity
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-11-27,-3
a0W5700000MYVQOEA5,a0X57000011fDIhEAM,2018-08-31,0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-10-08,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-05-28,-20
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-03-24,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-06-23,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-07-12,-2
a0W5700000MYVQOEA5,a0XD000000588bIMAQ,2018-04-05,0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-12-02,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-01-23,-10
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-09-05,-3
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-10-16,-2
a0W5700000MYVQOEA5,a0XD000000A1ghxMAB,2019-07-10,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-07-17,-10
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-10-02,-2
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-06-11,-10
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-04-08,-9
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-06-24,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-07-30,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-05-08,-3
a0W5700000OaJ2cEAF,a0X57000011fDGvEAM,2020-01-30,5
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-07-09,-6
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2020-05-09,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-07-10,-7
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2019-02-14,-10
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-12-30,-1
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-09-25,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-02-13,-5
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-07-14,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-05-06,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-08-22,-4
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-12-03,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-06-12,-17
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-03-08,-2
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-01-30,-3
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-07-22,-5
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-06-30,-1
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2019-05-31,-3
a0W5700000OaJ2cEAF,a0X5700000hcYHYEA2,2019-11-15,0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-06-12,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-09-26,-5
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-05-17,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-05-30,-4
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-05-12,-4
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-08-12,-3
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-08-10,-13
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-07-23,-3
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-10-15,-15
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2020-01-29,0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-07-22,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-06-19,-3
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-06-12,-4
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-03-11,0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-12-17,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-02-09,-9
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-07-29,-4
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-06-12,-6
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-10,-2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-05-06,-4
a0W5700000OaJ2cEAF,a0X5700000hcYHYEA2,2019-12-09,-2
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-06-29,-57
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-10-12,-1
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2019-04-15,-3
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-06-13,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-10-17,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-03-03,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-11-08,-3
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-05-29,-13
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-04-17,-2
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-02-27,-6
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-03-22,-1
a0W5700000OaJ2cEAF,a0X5700001C7jz6EAB,2019-12-10,-1
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-11-12,0
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-12-13,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-05-24,-10
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-08-12,-2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-01-07,-2
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-07-11,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-06-23,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-09-17,-1
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-08-25,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-11-20,-2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-08-31,-1
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2020-01-28,-1
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2019-06-17,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-01-11,-3
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-09-18,-6
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-10-11,-3
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-09-03,-23
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-09-05,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-08-05,-9
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-11-05,-1
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-12-31,-2
a0W5700000OaJ2cEAF,a0XD000000588bIMAQ,2020-02-21,0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-04-04,-7
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-09-26,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-07-29,-2
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-07-31,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-02-10,-2
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-08-22,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-06-27,-3
a0W5700000OaJ2cEAF,a0XD000000588bIMAQ,2019-04-10,0
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2018-11-25,-1
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-07-13,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-06-27,-5
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-05-28,-7
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2020-04-19,-1
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-06-14,-1
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2020-05-10,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-08-07,-3
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-07-22,-5
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-05-04,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-08-19,-7
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-05-22,-4
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-12-01,-1
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-08-31,-1
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2019-07-01,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-12-10,-7
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-07-09,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-06-21,-3
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-08-21,-8
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-10-23,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-03-27,-3
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-02-02,-1
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-11-07,-10
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-07-09,-14
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-09-02,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-05-31,-1
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-02-23,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-09-12,-2
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-07-15,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-01-28,-5
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-01-03,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-03-05,-1
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2019-09-24,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-09-02,-5
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-04-26,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-04-01,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-03-01,-4
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-06-16,-8
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-11-27,-9
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-04-24,-1
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-06,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-11-04,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-01-21,-37
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-08-09,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-03-04,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-01-31,-5
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-05-04,-5
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2019-10-03,0
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-04-02,-2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-10-01,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-09-07,-3
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-04-29,150
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-06-17,0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-07-24,-15
a0W5700000MYVQOEA5,a0XD000000DOy7AMAT,2018-11-21,0
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-05-31,2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-01-12,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-05-15,-2
a0W5700000OaJ2cEAF,a0X5700001C7jz6EAB,2019-10-15,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-08-14,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-10-20,-2
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2019-06-21,-10
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2020-01-07,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-05-25,-24
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-11-04,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-06-03,-52
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2019-06-03,-1
a0W5700000MYVQOEA5,a0X5700001C7jz6EAB,2020-05-12,-1
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-07-17,-2
a0W5700000MYVQOEA5,a0XD000000588bIMAQ,2018-09-28,-30
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-06-19,-1
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-11-01,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-01-23,-8
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-03-16,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-03-23,-4
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-07-14,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-09-25,-3
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-01-08,-11
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-05-20,-19
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-02-18,-7
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-07-25,-10
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-01-13,-12
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-06-04,-6
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-06-26,-5
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-06-27,-51
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-08-15,-1
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,2019-12-13,0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-01-15,-1
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-07,-8
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-07-05,-9
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-10-28,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-03-23,-11
a0W5700000OaJ2cEAF,a0X5700000mB0JNEA0,2019-08-16,0
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-02-29,-4
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-03-30,-1
a0W5700000OaJ2cEAF,a0XD000000588bIMAQ,2019-06-21,0
a0W5700000OaJ2cEAF,a0X5700000mB0JNEA0,2020-04-20,0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-02-27,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-02-03,-4
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-08-13,-1
a0W5700000MYVQOEA5,a0XD000000A1ghxMAB,2019-11-06,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-04-29,-10
a0W5700000OaJ2cEAF,a0X5700000mB0JNEA0,2019-11-06,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-04-13,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-05-16,-8
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-02-24,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-11-01,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-06-04,-7
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-09-04,-8
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-03-21,-2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-05-28,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-09-27,75
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-08-29,-1
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-07-31,1
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-10-07,-4
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-05-05,-2
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-03-25,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-03-20,-2
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-07,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-01-21,-3
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-09-25,-3
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-03-26,-1
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2020-04-23,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-05-09,-21
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-08-01,0
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2020-04-21,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-05-02,-6
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-04-08,-2
a0W5700000OaJ2cEAF,a0X57000011fDGvEAM,2019-10-29,-2
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-12-04,-4
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-06-07,-5
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2020-01-07,0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-06-22,-1
a0W5700000MYVQOEA5,a0X5700001C7jz6EAB,2019-10-09,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-09-24,-11
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2020-02-11,-3
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-11-17,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-06-10,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-04-19,-3
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-10-22,-11
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-12-10,-1
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,2019-08-19,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-08-19,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-03-24,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-08-23,17
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-04-20,-1
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-04-16,2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-03-08,-9
a0W5700000MYVQOEA5,a0X57000019oxgJEAQ,2019-12-09,-200
a0W5700000OaJ2cEAF,a0XD000000588bIMAQ,2019-04-18,0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-07-04,-4
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-01-16,-3
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-02-06,-6
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-05-23,42
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-01-04,-10
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-11-12,-13
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-10-08,-13
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-10-22,-12
a0W5700000MYVQOEA5,a0X57000018NbJPEA0,2019-01-16,-1
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-12-17,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-01-29,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-10-31,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-06-03,-1
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-05-06,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-08-21,-4
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2019-11-21,-2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-03-22,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-05-07,-9
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-04-30,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-01-05,-1
a0W5700000OaJ2cEAF,a0X5700000mB0JNEA0,2020-05-05,-1
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2018-08-23,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-06-15,-3
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-02-07,-9
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-11-28,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-09-12,-12
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,2018-07-03,0
a0W5700000MYVQOEA5,a0X5700001C7jz6EAB,2018-11-09,-2
a0W5700000OaJ2cEAF,a0X57000011fDIhEAM,2020-04-30,-3
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2019-10-11,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-07-08,-11
a0W5700000MYVQOEA5,a0XD000000588bIMAQ,2018-07-10,0
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-12-16,-8
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-10-08,-26
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-07-18,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-03-24,1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-12-18,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-08-03,-2
a0W5700000OaJ2cEAF,a0X5700000mB0JNEA0,2020-02-11,-5
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-05-13,-3
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-05-03,-1
a0W5700000OaJ2cEAF,a0X5700000hcYHYEA2,2020-03-03,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-12-04,-4
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-03-18,-3
a0W5700000OaJ2cEAF,a0X5700000hcYHYEA2,2019-12-30,-4
a0W5700000OaJ2cEAF,a0X5700000hcYHYEA2,2019-10-14,-1
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-07-02,-24
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,2018-09-10,-4
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,2018-06-26,-38
a0W5700000MYVQOEA5,a0XD000000588bIMAQ,2018-10-31,-10
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2020-05-11,-19
a0W5700000MYVQOEA5,a0X57000011fDISEA2,2019-10-17,-8
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2019-03-07,-4
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-04-01,-20
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-12-17,-5
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-09-10,1
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2019-06-28,-3
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-09-10,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-10-24,-4
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-10-01,-1
a0W5700000MYVQOEA5,a0XD000000588bIMAQ,2019-06-26,0
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-12-13,-1
a0W5700000OaJ2cEAF,a0XD000000SKq1hMAD,2019-07-01,-1
a0W5700000OaJ2cEAF,a0XD000000SKq1hMAD,2020-03-16,-1
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-04-28,-1
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2020-04-20,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-05-28,-5
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2018-11-14,0
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2020-03-05,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-07-20,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-03-18,-3
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-01-15,-5
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-02-14,-7
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2019-09-09,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-08-20,-6
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-01-28,-14
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2019-06-25,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-09-19,-2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-03-27,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-03-21,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-09-21,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-07-11,-2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-06-05,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-07-09,-7
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-03-02,-3
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-02-28,-3
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-03-15,-1
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,2018-07-31,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2020-02-11,-1
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-11-19,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-04-09,-3
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-08-30,-8
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-05-21,-15
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-11-23,-1
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-01,-1
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2020-01-09,-2
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2018-08-22,-2
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,2020-02-26,-1
a0W5700000OaJ2cEAF,a0X5700000mB0JNEA0,2020-01-09,-7
