itemid,locationid,transactiondate,transferquantity
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-09-17,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-05-17,-3
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-12-10,-44
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-08-21,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-11-06,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-04-21,-1
a0W5700000OaJ2cEAF,a0X57000011fDGvEAM,2020-05-12,-2
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2018-08-16,-2
a0W5700000OaJ2cEAF,a0X5700000xnRgkEAE,2020-03-09,-2
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-10-27,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-08-22,-4
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-11-28,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-09-28,-10
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-09-24,-5
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2019-02-08,-9
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2019-06-24,-2
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2018-07-13,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-07-19,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-04-18,-8
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,2018-07-10,-1
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-09-13,294
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-04-02,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-12-20,-6
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-04-08,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-10-31,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2019-12-02,-34
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,2020-02-04,-1
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-11-26,-1
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,2020-03-29,-2
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-06-28,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2019-06-11,-5
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-20,-3
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,2019-10-28,-1
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-02-27,-2
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,2019-02-17,-1
a0W5700000MYVQOEA5,a0XD000000588bmMAA,2020-01-10,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-06-30,-1
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,2018-10-01,-30
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-07-25,-2
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-06-05,-55
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2019-03-26,-10
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-07-13,-5
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,2018-08-24,39
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,2018-07-24,-5
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,2018-10-16,-1
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,2019-07-05,-1
