ItemId,LocationId,BalanceDate,MA30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-21,9.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-22,9.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-23,9.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-24,9.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-25,9.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-26,9.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-27,8.89
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-28,8.80
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-29,8.73
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-06-30,8.67
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-01,8.62
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-02,8.57
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-03,8.53
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-04,8.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-05,8.53
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-06,8.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-07,8.47
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-08,8.45
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-09,8.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-10,8.41
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-11,8.39
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-12,8.38
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-13,8.36
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-14,8.35
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-15,8.33
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-16,8.32
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-17,8.31
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-18,8.30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-19,8.27
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-20,8.23
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-21,8.20
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-22,8.17
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-23,8.13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-24,8.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-25,8.07
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-26,8.07
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-27,8.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-28,8.13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-29,8.17
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-30,8.20
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-07-31,8.17
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-01,8.13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-02,8.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-03,8.07
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-04,8.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-05,7.97
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-06,7.93
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-07,7.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-08,7.77
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-09,7.63
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-10,7.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-11,7.37
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-12,7.23
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-13,7.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-14,6.93
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-15,6.77
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-16,6.60
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-17,6.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-18,6.27
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-19,6.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-20,5.83
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-21,5.57
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-22,5.30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-23,5.13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-24,5.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-25,4.83
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-26,4.67
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-27,4.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-28,4.30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-29,4.13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-30,4.03
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-08-31,3.93
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-01,3.83
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-02,3.73
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-03,3.63
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-04,3.57
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-05,3.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-06,3.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-07,3.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-08,3.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-09,3.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-10,3.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-11,3.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-12,3.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-13,3.47
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-14,3.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-15,3.53
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-16,3.57
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-17,3.60
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-18,3.73
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-19,3.97
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-20,4.20
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-21,4.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-22,4.57
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-23,4.67
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-24,4.77
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-25,4.87
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-26,4.97
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-27,5.10
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-28,5.20
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-29,5.30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-09-30,5.40
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-01,5.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-02,5.60
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-03,5.77
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-04,5.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-05,6.03
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-06,6.17
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-07,6.33
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-08,6.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-09,6.67
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-10,6.83
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-11,7.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-12,7.17
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-13,7.33
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-14,7.50
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-15,7.67
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-16,7.83
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-17,8.00
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-18,8.07
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-19,8.13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-20,8.20
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-21,8.27
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-22,8.33
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-23,8.40
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-24,8.47
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-25,8.53
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-26,8.63
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-27,8.73
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-28,8.83
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-29,8.93
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-30,9.03
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-10-31,9.13
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-01,9.23
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-02,9.27
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-03,9.30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-04,9.33
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-05,9.37
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-06,9.40
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-07,9.43
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-08,9.47
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-09,9.57
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-10,9.67
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-11,9.77
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-12,9.90
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-13,10.03
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-14,10.17
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-15,10.30
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,2018-11-16,10.40
