ItemId,LocationId,BalanceDate,InventoryBalance
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-11-08,23
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-11-17,19
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2018-12-20,22
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-01-05,23
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-01-07,18
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-02-04,22
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-02-05,21
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-02-06,15
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-02-15,25
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-03-08,22
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-03-25,29
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-04-04,26
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-04-22,28
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-04-25,31
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-05-01,32
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-05-02,33
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-05-07,26
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-05-10,28
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-05-20,30
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-05-28,31
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-06-07,24
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-06-18,25
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-07-09,27
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-07-11,20
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-07-22,24
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-08-13,25
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-08-22,16
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-09-12,12
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-10-08,10
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-11-06,11
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-11-07,7
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,2019-12-13,5
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-06-26,12
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-06-27,26
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-06-29,83
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-07-10,91
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-07-18,81
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-07-25,71
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-07-26,81
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-08-01,88
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-08-20,69
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-08-21,77
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-08-28,93
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-08-30,106
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-09-11,110
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-09-12,83
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-09-17,93
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-09-18,92
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-09-25,98
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-10-03,75
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-10-05,74
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-10-17,81
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-11-05,80
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-11-06,87
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-11-07,77
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-11-13,96
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,2018-11-16,95
